Date,User,ABSA_Tweets
2023-01-01 23:13:22+00:00,whatabout303,@AbsaSouthAfrica someone made a cash transfer to my FNB account last Thursday and it still hasn't reflected...is this normal?
2023-01-01 19:43:20+00:00,PeterjabulaniK,"@Hollywoodbets @AbsaSouthAfrica  I have made a withdrawal using absa cash send. However I have not received access code.
Ref: HWB17878522607 and
Ref: HWB17879113168.

Please help me"
2023-01-01 19:30:41+00:00,leehle09,I'm so disappointed with @AbsaSouthAfrica I bought R200 airtime via the app and they never released the money even though the balance show that I was billed 🚮🚮🚮🚮
2023-01-01 18:14:42+00:00,Sir_M_Charles,@KaraboMokwele_ @AbsaSouthAfrica Lol yey you're rich 😂😂
2023-01-01 18:11:27+00:00,KaraboMokwele_,@Sir_M_Charles Rich kae @AbsaSouthAfrica e re scama 😭
2023-01-01 15:45:14+00:00,CandyTech1,"Why we need new rules and tools for cryptocurrencies https://t.co/pPPDDGAddL @AbsaSouthAfrica
rt @wef https://t.co/HCRXT2vp5J"
2023-01-01 15:00:24+00:00,GosiameMalepe,"@6ear_rsa @AbsaSouthAfrica @Absa Mind you, I have been with the institution since high school until now, I work now after several degrees…"
2023-01-01 14:57:37+00:00,6ear_rsa,@GosiameMalepe @AbsaSouthAfrica @Absa damn that's mad
2023-01-01 13:04:25+00:00,undobeni,@AbsaSouthAfrica wooow Absa. I cannot withdraw cash. Message still says card Fica blocked. Yhoo
2023-01-01 09:25:40+00:00,MjonaThato,@TiyiBevhula My bank @AbsaSouthAfrica calculating my monthly repayments right now https://t.co/gipLMC3QEn
2023-01-01 08:09:34+00:00,KAGlSO,@DODO_MASONDO @AbsaSouthAfrica Never 😂😂😂
2023-01-01 07:29:30+00:00,Funo_bubbles,@AbsaSouthAfrica Why did you cancel Nandos and steers voucher 😳
2023-01-01 06:25:31+00:00,AbsaSouthAfrica,"@mamaky_makena Hi there, thank you for reaching out to us. We will look into this and get back to you."
2023-01-01 06:24:04+00:00,AbsaSouthAfrica,"@Xhanga_Biggz Hi there, please note that your case has been escalated to our team for assistance."
