Date,User,Capitec_Tweets
2023-01-01 20:00:26+00:00,__Siiwe,I am unable to use your app it keeps kicking me out @CapitecBankSA
2023-01-01 17:49:14+00:00,Emperor_Makola,@CapitecBankSA Is there any particular reason why you are not debiting my Account for my Funeral Policy or you just delaying debits deliberately like you did in December which Im now sitting with arrears while there is money in my Account. What nonsense is this! Respond Urgently!
2023-01-01 17:21:47+00:00,hobosapians,@CapitecBankSA @MagdMol4 Will you also receive an SMS if you win a larger amount than what Capitec can pay out?
2023-01-01 15:06:19+00:00,Officialchidi6,@CapitecBankSA hello I have a question I made payment from my Capitec app to Tyme bank yesterday afternoon i haven’t received anything on my tyme bank till now I want to know what’s wrong or it take longer time ?
2023-01-01 13:23:25+00:00,Nosiethafeni1,"@CapitecBankSA so nge5 December bendiyafaka imali kwi acc yam it waz R10.400 after ndifake imali yabuyisa card yathi out of service,so oko bendixelela nge Swap ok fine the nge 22 they deposit R3400 they said yiyo imali endiyifakile which is not my money I have witnesses"
2023-01-01 13:15:51+00:00,mbathambali493,@rory_victoriana @TUMI02GP @CapitecBankSA It was some internet transaction by a UK company. For all I know the UK company was actually a Jollof in Turfontein
2023-01-01 12:48:20+00:00,melotooyellow,@CapitecBankSA hi just have a quick query regarding your notification system.  Please assist.
2023-01-01 12:46:50+00:00,Iam_LeboM,Lle wena @CapitecBankSA otherwise I'll leave you. Can't be too loyal to you while you showing me flames
2023-01-01 12:00:02+00:00,SSFootball,"That assist from Martin Ødegaard is a thing of beauty 🤩

@CapitecBankSA #PL https://t.co/YarN7XpjmQ"
2023-01-01 11:16:45+00:00,anqunq,@CapitecBankSA Please check your DM please now you taking people an advantage we not drunk
2023-01-01 11:04:29+00:00,CapitecBankSA,"@anqunq Hi Qamata, please send a DM with your details for us to  look into the matter."
2023-01-01 11:03:14+00:00,anqunq,@CapitecBankSA you increased my loan without missing any payment please explain... Because I'm ready to post everything right here..
2023-01-01 10:55:30+00:00,dyan__carter,Aninazo nentloni @CapitecBankSA
2023-01-01 10:22:40+00:00,BabaZWA_,"Mara data ka Capitec Connect kodwa @CapitecBankSA , ingathi 500 MB ngu 5O mb ka MTN 😭😭"
2023-01-01 10:15:02+00:00,CapitecBankSA,"@Pheliswa_S Hi Nontombi, only branches that operate on Suday are open tomorrow between 8am-13pm.

Please use the link below to check for the branches that are operating.

For info on specific branch times: https://t.co/uL2blEbeFI"
2023-01-01 10:13:28+00:00,Pheliswa_S,"Are you open tommorrow?  lost my card at groove. @CapitecBankSA
I'm asking because someone said tommorrow might be a public hoilday too"
2023-01-01 09:37:08+00:00,CapitecBankSA,@AyandaNzama_ Thank you😊
2023-01-01 09:36:25+00:00,AyandaNzama_,@CapitecBankSA Its all good now😁happy new year Capitec.
2023-01-01 09:05:37+00:00,miyelani309,@Madam_PB @CapitecBankSA
2023-01-01 08:53:38+00:00,CapitecBankSA,@ServicesKat You're welcome.
2023-01-01 08:52:57+00:00,ServicesKat,@CapitecBankSA Thank you so much
2023-01-01 08:52:19+00:00,CapitecBankSA,@ServicesKat The Betway team is working to rectify the issue.
2023-01-01 08:50:18+00:00,ServicesKat,@CapitecBankSA Nah it doesn’t reflect on the capitec app. I even called capitec call centre they said the pay@ option doesn’t generate proof of payment only statement
2023-01-01 08:43:51+00:00,CapitecBankSA,"@ServicesKat Hi Katlego, did the voucher not dispense?"
2023-01-01 05:58:00+00:00,SediMorake,@ReneilweMorake1 @CapitecBankSA So what do we do about this? https://t.co/DYvVhf8QNZ
2023-01-01 05:56:48+00:00,SediMorake,"@ReneilweMorake1 @CapitecBankSA Yes they’ll see my reply, that I can’t access Apple Wallet with my Capitec card because of their verification"
2023-01-01 05:55:22+00:00,ReneilweMorake1,@SediMorake @CapitecBankSA Reply nd tell them tlhe
2023-01-01 05:54:51+00:00,SediMorake,@ReneilweMorake1 @CapitecBankSA But I do I have to call Capitec for verification?
2023-01-01 05:25:45+00:00,CapitecBankSA,@BeachBum_ZA We will need the error to offer troubleshooting.
2023-01-01 05:07:18+00:00,CapitecBankSA,"@iamvuks_m Hi bhut’ tsong, the App is up and running. Please restart your device and reattempt to transact on the App again."
2023-01-01 05:06:42+00:00,ReneilweMorake1,@CapitecBankSA @SediMorake
2023-01-01 04:30:12+00:00,CapitecBankSA,"@AyandaNzama_ Hi Ayanda, are you still unable to use the App?"
2023-01-01 04:18:33+00:00,CapitecBankSA,"@Minkhenso_m Hi Nghuyuza, how to add load your card:

1. Open the Wallet app
2. Tap on Add
3. Tap on Credit Card/Debit Card
4. Select Continue
5. Follow the on-screen instructions"
2022-12-31 23:06:50+00:00,YvBarbie,@Madam_PB @CapitecBankSA
2022-12-31 20:57:07+00:00,NkazimuloNqaba,@realMonatenate @CapitecBankSA Someone seriously paid for a disability nje. https://t.co/nxCvlBMfPm
2022-12-31 20:43:42+00:00,BeachBum_ZA,"@CapitecBankSA I can't recall the wording but it's the same I get when there's no internet connection, had to sign in to another bank, buy data then when I tried again it logged in, but I already had data since I tweeted about my issue right before that"
2022-12-31 18:01:46+00:00,AyandaNzama_,@CapitecBankSA your damn app is not working.
2022-12-31 17:32:53+00:00,Gift7071,@Madam_PB @ChrisExcel102 @CapitecBankSA I’ve done the assessments on leaply and passed with good grades. Only had an issue when it came to the video interview as I was phoneless at that time… I’d like to be considered for an interview and maybe as an employee 🥺
2022-12-31 17:00:25+00:00,raw_hun,"@CapitecBankSA Nigerians managed to do a sim swap and with that, they cleaned her account of R10k. How is it that scammers can easily access Capitec bank accounts with just a sim swap?"
2022-12-31 16:21:42+00:00,KokwanV,@Vus_Emabongweni @CapitecBankSA I think that one was 7th card since the introduction of this new card
2022-12-31 16:14:36+00:00,Vus_Emabongweni,@KokwanV @CapitecBankSA Bra I'm having the same situation 😕
2022-12-31 15:52:45+00:00,KokwanV,@Tsholanang_Z @CapitecBankSA The way it’s even expensive to replace it becomes bad njhe
2022-12-31 15:51:02+00:00,Tsholanang_Z,@KokwanV @CapitecBankSA Very true my brother. This lack card is just useless
2022-12-31 15:00:47+00:00,PaulRamalepe,@Madam_PB @CapitecBankSA I have all relevant qualifications
2022-12-31 14:11:03+00:00,CapitecBankSA,"@bathooooong Hi Karabo, please do not mislead our clients into sending money."
2022-12-31 14:08:55+00:00,CapitecBankSA,@uncletshego_ Lets take a look at your specific debit order. Please DM us.
2022-12-31 14:04:00+00:00,KokwanV,@Mlindocy_Ntucko @CapitecBankSA I miss that card 😫
2022-12-31 13:50:55+00:00,misogob,@Tshepi_Mshengu @CapitecBankSA I think most banks have been having it.
2022-12-31 13:45:17+00:00,Mlindocy_Ntucko,@KokwanV @CapitecBankSA Gold cardrs was way better.... this black cards is all balls
2022-12-31 13:27:11+00:00,NothembaBMhlaba,@WorstServiceSA @CapitecBankSA Capitec is nonsense
2022-12-31 13:19:16+00:00,CapitecBankSA,"@DiegoSebothoma To cancel a debit order, please contact the debiting company. You may call 0860102043 or visit your nearest branch to request proof of the mandate and place a stop on the debit order."
2022-12-31 13:17:28+00:00,uncletshego_,@CapitecBankSA @WorstServiceSA Why would a d/o not be reversible? 🤔
2022-12-31 13:16:30+00:00,WorstServiceSA,"@DiegoSebothoma @CapitecBankSA @CapitecBankSA , please explain."
2022-12-31 13:01:35+00:00,MakhanyaZaa,"@WorstServiceSA @CapitecBankSA Mina @StandardBankZA couldn’t assist when I phoned them that I mistakenly deposited money to an capitec account,I was told to phone capitec to assist me"
2022-12-31 12:58:39+00:00,MASHIBE13,@thee_Snowy @CapitecBankSA @Discovery_SA Y bank with the dead 🤷🏽‍♀️
2022-12-31 12:56:06+00:00,DiegoSebothoma,@CapitecBankSA @WorstServiceSA If one doesn’t accept/decline then why do yol proceed ? I am a victim of this and it’s bothering me as I have to reverse the debit order every month and that’s more costly.  Please advise on how to resolve this?
2022-12-31 12:54:47+00:00,LARSH_MTL,@Nicky_April1 @CapitecBankSA 😂😂😂😂 capitec ya phapha
2022-12-31 12:54:00+00:00,Nicky_April1,@LARSH_MTL @CapitecBankSA 😂😂😂😂
2022-12-31 12:35:53+00:00,tumelo_clint,@CapitecBankSA Staff*
2022-12-31 12:35:27+00:00,tumelo_clint,@CapitecBankSA But our capitec cards are not linked to our V+ mos... And the stuff at shell don't know how to do that!
