Date,User,FNB_Tweets
2023-01-01 22:53:58+00:00,WeFCBusiness,"@FNBSA Kanjani when you are charging us so much for a card we pay for monthly.

We are low key paying for that new logo 🙄🙄 https://t.co/G2cpM5Ggzp"
2023-01-01 22:50:37+00:00,Kennedy20556260,@FNBSA #FNBCashFreeSummer I paid my Municipal bill with no stress
2023-01-01 22:46:07+00:00,Celine19486331,@FNBSA I pay my Rent bill from my app simple and easy #FNBCashFreeSummer #LoveFNB
2023-01-01 22:42:56+00:00,Yasmin09956945,"@FNBSA I pay all my bills from my municipal bills ,Woolworths,and Telkom no more long ques for me #FNBCashFreeSummer #LoveFNB"
2023-01-01 22:38:47+00:00,bheemthembu,@FNBSA I pay my Mr price account
2023-01-01 22:35:08+00:00,CeleStembile,@FNBSA I pay my telkom bill #FNBCashFreeSummer #LoveFNB
2023-01-01 22:31:59+00:00,Tanya43884383,@FNBSA I'm paying my electricity bill #FNBCashFreeSummer #LoveFNB
2023-01-01 20:41:52+00:00,Lungi0104,@FNBSA 0
2023-01-01 20:39:24+00:00,sterkinekor,@aLfriendo @FNBSA @Rb__sa Hi there. Kindly refresh your browser and clear your cache files and try again
2023-01-01 19:18:25+00:00,BawinleZ,@FNBSA #LoveFNB
2023-01-01 18:45:45+00:00,Mtshbr_,🕯️🕯️🕯️for @FNBSA @StandardBankZA  to actually realise they are not doing me a favour by keeping my money.
2023-01-01 18:31:33+00:00,james_spillings,@CelliersJ1 @FNBSA What a load of rubbish - we've been trying to get a problem sorted out for aged father for close on a year without any resolution. App is useless and you're lucky if you get a reply from customer services despite giving them everything requested.
2023-01-01 18:10:13+00:00,aLfriendo,Every single time. @FNBSA @Rb__sa @sterkinekor https://t.co/1xNnVpNQ9Q
2023-01-01 18:01:23+00:00,Anthony75544461,@FNBSA #LoveFNB
2023-01-01 18:01:09+00:00,Anthony75544461,@CapeTownCityFC @FNBSA #LoveFNB
2023-01-01 18:01:01+00:00,Anthony75544461,@FNBSA #LoveFNB
2023-01-01 17:59:42+00:00,Siphama68191790,"@ecr9495 @FNBSA scan and pay
 @FNBSA  #FNBCashFreeSummer"
2023-01-01 17:59:09+00:00,Moush7501,@FNBSA #LoveFNB
2023-01-01 17:58:00+00:00,Siphama68191790,"@FNBSA scan and pay.
#FNBCashFreeSummer 
#LoveFNB
@FNBSA"
2023-01-01 17:57:35+00:00,Siphama68191790,"@FNBSA #FNBCashFreeSummer 
#LoveFNB    
@FNBSA
 
Paying bills"
2023-01-01 17:52:07+00:00,Siphama68191790,"@947 @FNBSA Ewallet.
#FNBCashFreeSummer 
@947"
2023-01-01 17:17:56+00:00,tbossigudu,"@947 @FNBSA #FNBCashFreeSummer  
Tap to pay,  
@FNBSA
 ."
2023-01-01 16:52:49+00:00,SipLaurence,"@947 @FNBSA #FNBCashFreeSummer is Tap to pay,  @FNBSA ."
2023-01-01 16:49:58+00:00,SipLaurence,"@947 @FNBSA #FNBCashFreeSummer  Tap to pay,  @FNBSA ."
2023-01-01 16:45:24+00:00,SipLaurence,"@ecr9495 @FNBSA Ewallet  .
 @FNBSA  #FNBCashFreeSummer"
2023-01-01 16:39:22+00:00,SipLaurence,"@FNBSA #FNBCashFreeSummer 
#LoveFNB

Tap @FNBSA"
2023-01-01 16:31:51+00:00,Najuma65731390,@FNBSA LoveFNB
2023-01-01 16:30:27+00:00,iamreabetswe27,@FNBSA le toxic with your Bal and Avail. I could be on -R7 but my balance is on R790 like dintsang bafethu? 😭😭
2023-01-01 16:29:29+00:00,SipLaurence,"@947 @FNBSA Ewallet. #FNBCashFreeSummer 
@947"
2023-01-01 16:14:55+00:00,SibongileSigudu,"@FNBSA Tap and pay
 #FNBCashFreeSummer #LoveFNB    
@FNBSA"
2023-01-01 16:13:58+00:00,SibongileSigudu,"@FNBSA #FNBCashFreeSummer 
#LoveFNB    
@FNBSA
 
Paying DStv"
2023-01-01 16:07:01+00:00,SibongileSigudu,"@947 @FNBSA Ewallet.
#FNBCashFreeSummer 
@947"
