Date,User,Nedbank_Tweets
2023-01-01 22:59:06+00:00,JohnBas96890900,@ToAmused @Mufasa0062 @crimemind3 @Nedbank Very close
2023-01-01 21:16:08+00:00,hlengiwe_sings,"@Mufasa0062 @Nedbank wby don't you honor our debit orders vele 😕, you would rather charge 40 bucks for unpaid even if I was short with 27 Rands whooo no"
2023-01-01 21:03:50+00:00,Nedbank,@NothembaBMhlaba Hi there. How was the application done? Please send us a private message with all the details so we can assist further.
2023-01-01 20:19:11+00:00,ToAmused,@ZeldaBoshoff4 @Nedbank I’m not sure what your take is here but when a corporate business abuses their power over the little man that’s when I will expose them.. they remain in my view a backward bank.. oh &amp; btw this is their standard response where nothing happens
2023-01-01 19:19:28+00:00,ZeldaBoshoff4,"@Nedbank @ToAmused Just top up his bank account in true 2023 spirit. That is ubuntu, after all the storms. Publish it on social media and whalla lots of new clients. Né!"
2023-01-01 19:09:48+00:00,Nedbank,@YoungLloydSA Good evening. We can investigate these charges for you. Kindly private message us your ID and contact number so that we may secure the chat and advise further 🙂
2023-01-01 19:07:29+00:00,Nedbank,@elna50193290 Please accept our sincere apologies for the inconvenience caused 😞 We trust that you will have a splendid evening further 💚
2023-01-01 18:37:51+00:00,YoungLloydSA,It's a new year and am having regrets about switching my salary to @Nedbank 😭 they literally charge you for everything yet you pay the monthly fee of R 115 for their gold Cheque card. And yet they haven't reversed my money the debited wrongfully. What a new year with Nedbank
2023-01-01 18:35:57+00:00,elna50193290,@Nedbank Thankyou.!  Had quite a scare on the 1st day!
2023-01-01 17:38:32+00:00,Nedbank,@gracemichell31 We have responded to your DM. 🙂
2023-01-01 17:25:08+00:00,Nedbank,@nolwee 🙌💚
2023-01-01 17:23:56+00:00,Nedbank,@ZAFoodMusketeer Please allow us the chance to make things right.
2023-01-01 17:08:20+00:00,Nedbank,@SinothandoYena Hi there. Kindly private message us so we can look into this and assist further.
2023-01-01 16:53:15+00:00,Nedbank,@BaasFrank_ We've responded to your private message Frank.
2023-01-01 16:15:59+00:00,Nedbank,@SbuXulu_Donda Pleasure 🙂 Have a great evening further.
2023-01-01 16:15:17+00:00,Nedbank,@Belinda43367204 Pleasure 🙂 Have a great evening further.
2023-01-01 15:15:26+00:00,pipey47,@Nedbank @ToAmused 🙄
2023-01-01 14:40:54+00:00,nolwee,@Nedbank 👍🏽
2023-01-01 14:32:54+00:00,Nedbank,"@nolwee Hi Nolwazi. We did experience an outage earlier, which has since been resolved. You may login again and the account should be visible. We sincerely apologise for any inconvenience caused. https://t.co/YmCt2JeH7f"
2023-01-01 14:32:43+00:00,Nedbank,"@BruceHa41382705 Hi Bruce, our sincerest apologies for your experience. 🙏The matter has been resolved."
2023-01-01 14:21:22+00:00,Nedbank,@lakaleruo 💚🙌 https://t.co/YmCt2JeH7f
2023-01-01 14:21:12+00:00,Nedbank,"@ayanda_nqubuka With pleasure, Ayanda. 💚 Please DM us, your application reference number to follow up on this request for you."
