Date,User,Standard_Tweets
2023-01-01 23:34:30+00:00,random_ct_dave,@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow https://t.co/L9tkdlrxVK
2023-01-01 23:20:00+00:00,Jimmy384212881,@StandardBankZA Yes
2023-01-01 22:53:54+00:00,MWalkerWilliams,@blockchaintoken @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow Will do 👍🏻
2023-01-01 22:49:11+00:00,blockchaintoken,"@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow Yes. Ask the people at @StandardBankZA what their use cases were, that they were launching months ago? Maybe @zenobiaZAG can follow up? It was announced on her podcast."
2023-01-01 22:26:31+00:00,Janice26003840,"@StandardBankZA Happy new year 🎉 
#HowAboutNowSummer #ItCanBe"
2023-01-01 21:59:32+00:00,marbar53599698,@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow 👏👏👍👍
2023-01-01 21:56:46+00:00,brandon85586968,@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow https://t.co/q4gtoOqZfv
2023-01-01 21:41:15+00:00,mavie76,@malose_lml @s_siraji @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Fantastic first run 2023 👊🏻💯🤩well done Malose
2023-01-01 21:24:24+00:00,MWalkerWilliams,"@tom_kryp @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow Thank you, should be very cool 👍🏻"
2023-01-01 21:21:16+00:00,tom_kryp,@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow That would be awesome Max! And surely a great experience for you!
2023-01-01 20:34:03+00:00,dave123william1,@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow https://t.co/GYlFmQSJJC
2023-01-01 20:27:23+00:00,mahwiti9,"@malose_lml @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Was nice seeing you on the senwabarwana 5,10km👊🏼"
2023-01-01 20:23:35+00:00,MWalkerWilliams,@dave123william1 @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow 100% agree with that 👍🏻
2023-01-01 20:16:04+00:00,dave123william1,@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow I’ll send a cv … I’m a good guy to have around … it’s all about the attitude 😂✊🏻
2023-01-01 20:05:42+00:00,MWalkerWilliams,@dave123william1 @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow 😂👍🏻 thanks mate
